Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,373320,-373320
3,0,0,680676,-680676
4,43482,19468,761732,-742264
5,210878,60241,874188,-813947
6,352930,132503,945076,-812573
7,532110,225635,1033735,-808100
8,2554965,908696,1121662,-212966
9,2738497,1005982,1196235,-190253
10,4257110,1813265,1314102,499163
11,5444456,2449119,1401818,1047301
12,7215719,3228403,1488544,1739859
13,9516398,4098039,1544728,2553311
14,9860356,4261847,1661509,2600338
15,9961140,4333098,1718547,2614551
16,10815424,4596158,1837338,2758820
17,10876359,4606875,1913277,2693598
18,13305456,5323785,2015753,3308032
19,13425230,5379139,2106411,3272728
20,13881924,5475017,2194813,3280204
21,16610064,6066023,2326085,3739938
22,16815888,6167299,2417515,3749784
23,17035405,6270404,2555440,3714964
24,17313902,6462029,2671022,3791007
25,20481830,7367553,2788582,4578971
26,21837459,7661842,2853429,4808413
27,22008724,7747988,2920182,4827806
28,22397717,7924064,3046642,4877422
29,24683085,8570363,3133441,5436922
30,24908016,8685733,3196182,5489551
31,25083243,8786814,3261994,5524820
32,25399726,8999944,3343192,5656752
33,27540807,9825836,3439736,6386100
34,30326591,10560039,3501490,7058549
35,30561979,10677316,3593154,7084162
36,30787641,10786703,3687184,7099519
37,31946378,11426965,3799703,7627262
38,35501899,12486557,3893136,8593421
39,36482798,13025178,3974953,9050225
40,37211729,13281369,4039930,9241439
41,38954943,13937324,4106796,9830528
42,39174599,14040686,4201924,9838762
43,39357854,14132872,4267458,9865414
44,40086273,14382529,4352843,10029686
45,40310241,14491691,4420680,10071011
46,43626718,15401589,4486248,10915341
47,44397731,15666728,4584089,11082639
48,44544810,15731483,4668373,11063110
49,45558709,15970222,4768925,11201297
50,45755219,16102489,4856522,11245967
51,46777933,16610121,4960690,11649431
52,47767375,17093213,5064896,12028317
53,47911432,17165955,5185081,11980874
54,48382977,17338939,5258632,12080307
55,49401335,17902185,5331203,12570982
56,50168030,18280609,5448634,12831975
57,51275871,18777125,5536120,13241005
58,52360377,19324369,5608282,13716087
59,52995992,19511777,5682497,13829280
60,53138595,19581141,5753650,13827491
61,53631373,19717761,5825639,13892122
62,54073517,19826694,5914805,13911889
63,54329582,19951479,6047070,13904409
64,54451724,20017718,6217204,13840494
65,54579563,20114290,6338792,13815478
66,54862190,20165610,6449169,13756421
67,55188414,20287515,6537616,13789879
68,56071999,20514543,6676007,13878516
69,56628259,20633313,6799688,13873605
70,56843151,20757776,6909519,13888237
71,57498355,20834554,7077724,13796810
72,57713551,20971484,7208810,13802654
73,58738140,21021595,7358631,13702944
74,58918641,21138421,7521583,13656818
75,60507044,21307216,7685020,13662176
76,60712473,21445660,7846192,13639448
77,62137593,21932517,8011025,13961472
78,63716543,22728772,8225443,14543309
79,65027969,23315468,8399971,14955477
80,66437004,23897808,8563882,15373906
81,67326622,24442819,8757126,15725673
82,69642452,25298603,8907165,16431418
83,70936065,25589402,9069176,16560206
84,71488236,25758268,9215489,16582759
85,73641070,26137732,9363782,16813930
86,73851428,26177968,9514524,16703424
87,75656857,26462046,9684812,16817214
88,75867742,26581373,9892034,16729319
89,76111772,26678645,10038833,16679792
90,76349864,26737230,10174613,16602597
