[HIGHEST OVERHEADS] Salary Expense: 35.73%
[CASH DEFICIT] , Day: 2, AMOUNT: , USD360720
[CASH DEFICIT] , Day: 3, AMOUNT: , USD751690
[CASH DEFICIT] , Day: 4, AMOUNT: , USD1427908
[CASH DEFICIT] , Day: 5, AMOUNT: , USD346394
[CASH DEFICIT] , Day: 6, AMOUNT: , USD39108
[CASH DEFICIT] , Day: 7, AMOUNT: , USD380499
[CASH DEFICIT] , Day: 10, AMOUNT: , USD175782
[CASH DEFICIT] , Day: 11, AMOUNT: , USD242916
[CASH DEFICIT] , Day: 14, AMOUNT: , USD252157
[CASH DEFICIT] , Day: 16, AMOUNT: , USD2221841
[CASH DEFICIT] , Day: 17, AMOUNT: , USD185192
[CASH DEFICIT] , Day: 19, AMOUNT: , USD1250318
[CASH DEFICIT] , Day: 22, AMOUNT: , USD1972773
[CASH DEFICIT] , Day: 23, AMOUNT: , USD1578422
[CASH DEFICIT] , Day: 27, AMOUNT: , USD1704586
[CASH DEFICIT] , Day: 31, AMOUNT: , USD527119
[CASH DEFICIT] , Day: 32, AMOUNT: , USD1505972
[CASH DEFICIT] , Day: 36, AMOUNT: , USD2181152
[CASH DEFICIT] , Day: 40, AMOUNT: , USD917618
[CASH DEFICIT] , Day: 42, AMOUNT: , USD367397
[CASH DEFICIT] , Day: 43, AMOUNT: , USD112069
[CASH DEFICIT] , Day: 44, AMOUNT: , USD663920
[CASH DEFICIT] , Day: 45, AMOUNT: , USD529843
[CASH DEFICIT] , Day: 47, AMOUNT: , USD1860434
[CASH DEFICIT] , Day: 48, AMOUNT: , USD745723
[CASH DEFICIT] , Day: 50, AMOUNT: , USD1092417
[CASH DEFICIT] , Day: 59, AMOUNT: , USD125428
[CASH DEFICIT] , Day: 61, AMOUNT: , USD229691
[CASH DEFICIT] , Day: 64, AMOUNT: , USD195129
[CASH DEFICIT] , Day: 65, AMOUNT: , USD187083
[CASH DEFICIT] , Day: 70, AMOUNT: , USD132191
[CASH DEFICIT] , Day: 71, AMOUNT: , USD1418835
[CASH DEFICIT] , Day: 78, AMOUNT: , USD587447
[CASH DEFICIT] , Day: 81, AMOUNT: , USD2680223
[CASH DEFICIT] , Day: 84, AMOUNT: , USD55905
[CASH DEFICIT] , Day: 85, AMOUNT: , USD2699831
[CASH DEFICIT] , Day: 86, AMOUNT: , USD295412
[CASH DEFICIT] , Day: 88, AMOUNT: , USD351365
[CASH DEFICIT] , Day: 89, AMOUNT: , USD116663
[CASH DEFICIT] , Day: 90, AMOUNT: , USD549942
[PROFIT DEFICIT] , Day: 2, AMOUNT: , USD360720
[PROFIT DEFICIT] , Day: 3, AMOUNT: , USD307356
[PROFIT DEFICIT] , Day: 4, AMOUNT: , USD61588
[PROFIT DEFICIT] , Day: 5, AMOUNT: , USD71683
[PROFIT DEFICIT] , Day: 17, AMOUNT: , USD65222
[PROFIT DEFICIT] , Day: 19, AMOUNT: , USD35304
[PROFIT DEFICIT] , Day: 23, AMOUNT: , USD34820
[PROFIT DEFICIT] , Day: 48, AMOUNT: , USD19529
[PROFIT DEFICIT] , Day: 53, AMOUNT: , USD47443
[PROFIT DEFICIT] , Day: 60, AMOUNT: , USD1789
[PROFIT DEFICIT] , Day: 63, AMOUNT: , USD7480
[PROFIT DEFICIT] , Day: 64, AMOUNT: , USD63915
[PROFIT DEFICIT] , Day: 65, AMOUNT: , USD25016
[PROFIT DEFICIT] , Day: 66, AMOUNT: , USD59057
[PROFIT DEFICIT] , Day: 69, AMOUNT: , USD4911
[PROFIT DEFICIT] , Day: 71, AMOUNT: , USD91427
[PROFIT DEFICIT] , Day: 73, AMOUNT: , USD99710
[PROFIT DEFICIT] , Day: 74, AMOUNT: , USD46126
[PROFIT DEFICIT] , Day: 76, AMOUNT: , USD22728
[PROFIT DEFICIT] , Day: 86, AMOUNT: , USD110506
[PROFIT DEFICIT] , Day: 88, AMOUNT: , USD87895
[PROFIT DEFICIT] , Day: 89, AMOUNT: , USD49527
[PROFIT DEFICIT] , Day: 90, AMOUNT: , USD77195
